Designator,Footprint,Center X (mm),Center Y (mm),Rotation,Layer
D_TVS1,DO-214AA,15,23,0,B
D_USB,DO-214AC,20,28,0,B
D_MAIN,DO-214AC,20,33,0,B
D_OUT5V,DO-214AC,77,38,0,B
D_RELAY_TVS,DO-214AA,65,88,0,B
D_RST,BAT54S,55,60,0,B
D_RELAY_PWR_GOOD,BAT54S,45,93,0,B
D_RELAY_BOOT_OK,BAT54S,45,100,0,B
D_DHT_ESD,SOD-123,55,48,0,B
D_DS_ESD,SOD-123,55,58,0,B
D_SOIL_ESD,SOD-123,45,58,0,B
D_VSENSE_CLAMP,BAT54S,115,28,0,B
D_ESD_IO1,SOT-23,75,40,0,B
D_ESD_IO2,SOT-23,75,43,0,B
D_ESD_IO3,SOT-23,75,46,0,B
D_ESD_IO4,SOT-23,75,49,0,B
ESD_USB,SOT-23-6,45,38,0,B
D_TVS_USB,DO-214AA,25,38,0,B
D_FLY1,SOD-123,170,96,0,B
D_FLY2,SOD-123,170,113,0,B
D_FLY3,SOD-123,170,130,0,B
D_FLY4,SOD-123,170,147,0,B
D_FLY5,SOD-123,60,96,0,B
D_FLY6,SOD-123,60,113,0,B
D_FLY7,SOD-123,60,130,0,B
D_FLY8,SOD-123,60,147,0,B
DZ_G1,SOD-123,20,20,0,B
