Designator,Footprint,Center X (mm),Center Y (mm),Rotation,Layer
U_ESP32,ESP32_WROOM_38P,165,57.5,0,T
U2_5V,SOIC-8E,72.5,33,0,T
U3_3V3,SOIC-8E,72.5,63,0,T
U_PWR_GOOD,SOT-23,138,57,0,T
U_WD,SOT-23-6,50,58,0,T
U_ADS,MSOP-8,82,53,0,T
U_USB_UART,QFN-28,35,53,0,T
U_EXP1,SSOP-28,50,110,0,T
U_EXP2,SSOP-28,50,125,0,T
U_BME280,BME280_I2C,127.5,55,0,T
U_OLED,OLED_I2C,145,55,0,T
U_SDCARD,MICROSD,140,80,0,T
U_DHT22,DHT22_TH,50,45,0,T
U_DS18B20,TO-92,50,55,0,T
J_USB,USB_MICRO_B,25,30,0,T
J_R1,CONN_TB_7.62_3P,190,96,0,T
J_R2,CONN_TB_7.62_3P,190,113,0,T
J_R3,CONN_TB_7.62_3P,190,130,0,T
J_R4,CONN_TB_7.62_3P,190,147,0,T
J_PWR_EXT,CONN_7.62_2P,190,20,0,T
J_VBAT,CONN_5.08_2P,190,28,0,T
J_DHT,CONN_3.81_3P,40,35,0,T
J_DS,CONN_3.81_3P,40,45,0,T
J_SOIL,CONN_3.81_3P,40,55,0,T
J_AIN,CONN_3.81_6P,112.5,60,0,T
J_I2C_EXT,CONN_3.81_4P,35,23,0,T
J_DEBUG,CONN_3.81_4P,35,25,0,T
J_EXP_HEADER,CONN_5.08_2x5,90,42.5,0,T
RELAY1,RELAY_SRD_5V,175,96,0,T
RELAY2,RELAY_SRD_5V,175,113,0,T
RELAY3,RELAY_SRD_5V,175,130,0,T
RELAY4,RELAY_SRD_5V,175,147,0,T
RELAY5,RELAY_SRD_5V,175,96,0,T
RELAY6,RELAY_SRD_5V,175,113,0,T
RELAY7,RELAY_SRD_5V,175,130,0,T
RELAY8,RELAY_SRD_5V,175,147,0,T
F1,FUSE_HOLDER_5x20,10,23,0,T
GDT1,DIP_7.5mm,10,28,0,T
MOV1,DISC_14MM,10,33,0,T
Q_PROTECT,SO-8,15,23,0,T
TB1,CONN_5.08_2P,10,18,0,T
L_SURGE1,RADIAL_8x10,12,28,0,T
L_5V,SMD_6x6,77,43,0,T
L_3V3,SMD_6x6,77,73,0,T
FB_ESP,0805,60,43,0,T
FB_ANA,0805,60,63,0,T
LED_PWR,0805,155,50,0,T
LED_WIFI,0805,155,53,0,T
LED_MQTT,0805,155,56,0,T
LED_ERROR,0805,155,59,0,T
Q_R1,SOT-23,162,93,0,T
Q_R2,SOT-23,162,110,0,T
Q_R3,SOT-23,162,127,0,T
Q_R4,SOT-23,162,144,0,T
Q_RST,SOT-23,40,60,0,T
Q_BOOT,SOT-23,40,65,0,T
Q_R5,SOT-23,55,93,0,T
Q_R6,SOT-23,55,110,0,T
Q_R7,SOT-23,55,127,0,T
Q_R8,SOT-23,55,144,0,T
C1,CAP_D8x11.5,185,18,0,T
C_RELAY_BULK,CAP_D10x12.5,70,88,0,T
R_RELAY_LIM,R_2512,45,88,0,T
