Designator,Footprint,Center X (mm),Center Y (mm),Rotation,Layer
TB1,Terminal Block,10.00,18.00,0,T
F1,Fuse 2A 250V,22.00,18.00,0,T
GDT1,Bourns 2027-09-B,35.00,18.00,0,T
MOV1,14D201K,48.00,18.00,0,T
R_SURGE1,5.6R 2W,62.00,18.00,0,T
L_SURGE1,22uH 2A,75.00,18.00,0,T
D_TVS1,SMBJ24A,90.00,18.00,0,T
Q_PROTECT,AO4407A,105.00,18.00,0,T
R_G1,100k 1%,105.00,10.00,0,T
R_G2,100k 1%,105.00,5.00,0,T
DZ_G1,15V,105.00,27.00,0,T
C1,470uF 25V,120.00,18.00,0,T
C2,1uF 50V,130.00,12.00,0,T
C3,100nF 50V,130.00,23.00,0,T
U2_5V,MP1584EN,72.00,35.00,0,T
CIN_5V1,22uF 50V,60.00,42.00,0,T
CIN_5V2,100nF 50V,60.00,35.00,0,T
L_5V,10uH 3A,83.00,35.00,0,T
COUT_5V1,22uF 16V,93.00,42.00,0,T
COUT_5V2,22uF 16V,93.00,38.00,0,T
COUT_5V3,100nF 16V,93.00,34.00,0,T
R_FB1_5V,10k 1%,82.00,28.00,0,T
R_FB2_5V,52.3k 1%,82.00,24.00,0,T
R_EN_5V,100k 1%,60.00,28.00,0,T
D_OUT5V,SS34,90.00,50.00,0,T
U3_3V3,MP1584EN,112.00,35.00,0,T
CIN_3V31,22uF 25V,100.00,42.00,0,T
CIN_3V32,100nF 25V,100.00,35.00,0,T
L_3V3,10uH 2A,123.00,35.00,0,T
COUT_3V31,22uF 16V,133.00,42.00,0,T
COUT_3V32,22uF 16V,133.00,38.00,0,T
COUT_3V33,100nF 16V,133.00,34.00,0,T
R_FB1_3V3,10k 1%,122.00,28.00,0,T
R_FB2_3V3,31.6k 1%,122.00,24.00,0,T
R_EN_3V3,100k 1%,100.00,28.00,0,T
FB_ESP,BLM18PG121SN1,58.00,47.00,0,T
C_ESP1,10uF 10V,63.00,47.00,0,T
C_ESP2,100nF 10V,66.00,47.00,0,T
FB_ANA,BLM18PG121SN1,58.00,67.00,0,T
C_ANA1,10uF 10V,63.00,67.00,0,T
C_ANA2,100nF 10V,66.00,67.00,0,T
U_PWR_GOOD,MCP809T-315,138.00,57.00,0,T
C_PWR_GOOD,100nF 10V,141.00,57.00,0,T
D_USB,SS34,20.00,35.00,0,T
D_MAIN,SS34,27.00,35.00,0,T
C_SYS1,47uF 16V,35.00,35.00,0,T
C_SYS2,100nF 16V,40.00,35.00,0,T
U_ESP32,ESP32-WROOM-32E,165.00,57.50,0,T
C_ESP_DEC1,100nF 10V,150.00,70.00,0,T
C_ESP_DEC2,100nF 10V,152.00,73.00,0,T
C_ESP_DEC3,100nF 10V,154.00,76.00,0,T
